2450455.661320 16.46300 0.01000
2450455.737650 16.45900 0.01100
2450455.785220 16.45400 0.01100
2450456.605330 16.50900 0.01100
2450456.655080 16.53100 0.01400
2450456.725830 16.57000 0.01200
2450456.773260 16.54500 0.01100
2450456.824680 16.51500 0.01200
2450457.573010 16.49000 0.01100
2450457.616970 16.46800 0.01200
2450457.675600 16.46600 0.01200
2450457.734190 16.44800 0.01100
2450457.792830 16.46400 0.01100
2450458.649410 16.46700 0.01200
2450458.718480 16.50300 0.01300
2450459.566620 16.53500 0.01300
2450459.612790 16.51700 0.01200
2450459.671360 16.49400 0.01200
2450459.730780 16.47900 0.01100
2450459.774650 16.45400 0.01200
2450459.818460 16.46700 0.01200
2450461.577510 16.52300 0.01200
2450461.621300 16.51900 0.01200
2450461.679970 16.48800 0.01100
2450461.746100 16.46900 0.01100
2450461.808120 16.46200 0.01300
2450462.578060 16.45300 0.01100
2450462.636690 16.47000 0.01100
2450462.682660 16.46000 0.01100
2450465.681520 16.50500 0.01400
2450465.729200 16.50400 0.01300
2450465.813980 16.47600 0.01200
2450466.665220 16.46900 0.01200
2450466.731750 16.46600 0.01100
2450466.816750 16.46200 0.01200
2450467.668900 16.52500 0.01200
2450467.773480 16.57000 0.01200
2450467.839450 16.54100 0.01300
2450468.679810 16.48300 0.01200
2450468.745750 16.46800 0.01100
2450468.804360 16.45800 0.01700
2450469.676490 16.48700 0.01300
2450469.754580 16.48600 0.01200
2450469.813490 16.51500 0.01400
2450470.751210 16.49000 0.01500
2450471.662280 16.48000 0.01300
2450471.799070 16.52700 0.01400
2450472.636950 16.49800 0.01200
2450472.680740 16.49400 0.01100
2450472.724540 16.48100 0.01200
2450472.790480 16.45200 0.01400
2450474.716460 16.53900 0.01400
2450475.550820 16.47700 0.01200
2450475.609620 16.46400 0.01200
2450475.675740 16.44600 0.01300
2450475.727870 16.44800 0.01300
2450476.761880 16.53500 0.01500
2450477.547580 16.50200 0.01200
2450477.598870 16.49500 0.01200
2450477.746350 16.46200 0.01200
2450477.827210 16.46200 0.01300
2450478.553730 16.47500 0.01200
2450478.774120 16.56200 0.01200
2450478.833060 16.54600 0.01200
2450479.552550 16.49900 0.01200
2450479.596440 16.48500 0.01100
2450479.744780 16.45400 0.01100
2450479.834060 16.46000 0.01500
2450480.588610 16.47000 0.01200
2450480.669760 16.47000 0.01100
2450480.763340 16.49900 0.01200
2450481.573780 16.56000 0.01300
2450481.722160 16.48600 0.01300
2450481.766140 16.49300 0.01300
2450481.810090 16.46700 0.01400
2450482.723020 16.48700 0.01100
2450482.800930 16.49600 0.01100
2450483.589290 16.53000 0.01300
2450483.633760 16.52000 0.01200
2450483.677600 16.49500 0.01200
2450483.721590 16.47000 0.01200
2450483.765500 16.48700 0.01200
2450484.587970 16.46500 0.01300
2450484.696650 16.44800 0.01100
2450484.741000 16.46200 0.01100
2450484.785020 16.46700 0.01200
2450485.591600 16.51400 0.01100
2450485.738550 16.53700 0.01200
2450485.782660 16.50500 0.01200
2450486.588130 16.48100 0.01300
2450486.633700 16.47200 0.01100
2450486.730200 16.45400 0.01200
2450486.775390 16.47400 0.01200
2450487.615090 16.48800 0.01100
2450487.663350 16.49200 0.01100
2450487.755280 16.50600 0.01200
2450487.799440 16.51700 0.01200
2450488.644530 16.49500 0.01100
2450488.757380 16.46700 0.01200
2450488.801460 16.45800 0.01300
2450489.576320 16.46600 0.01100
2450489.709200 16.53300 0.01100
2450489.753150 16.54700 0.01200
2450490.569550 16.51900 0.01000
2450490.706740 16.47900 0.01100
2450490.750850 16.46100 0.01200
2450490.794850 16.45400 0.01100
2450491.594050 16.49000 0.01200
2450491.645870 16.48300 0.01200
2450491.690010 16.47700 0.01200
2450491.803430 16.50200 0.01300
2450492.578240 16.57000 0.01300
2450492.652560 16.54400 0.01300
2450493.625760 16.45500 0.01100
2450494.576000 16.50800 0.01100
