  2450622.87882   16.880    0.025
  2450624.90538   16.918    0.018
  2450625.89282   16.837    0.018
  2450626.86435   16.886    0.017
  2450627.85057   16.936    0.018
  2450628.89166   16.927    0.021
  2450629.88946   16.878    0.022
  2450631.92041   16.900    0.018
  2450632.86091   16.958    0.022
  2450633.89634   16.869    0.024
  2450635.89120   16.924    0.020
  2450643.86021   16.957    0.018
  2450645.83194   17.023    0.020
  2450649.78705   17.059    0.024
  2450652.83425   17.018    0.020
  2450656.84740   17.016    0.020
  2450657.81966   17.072    0.025
  2450663.76623   17.088    0.022
  2450664.87114   17.000    0.021
  2450665.81843   17.033    0.024
  2450666.82899   17.062    0.022
  2450667.84821   16.984    0.021
  2450668.81903   17.048    0.018
  2450670.78461   17.112    0.025
  2450671.80665   17.063    0.020
  2450672.81220   17.059    0.024
  2450673.77958   17.083    0.020
  2450684.73996   17.082    0.031
  2450685.79482   17.078    0.020
  2450687.77744   17.096    0.020
  2450688.71948   17.084    0.017
  2450689.74663   17.106    0.020
  2450697.71276   17.060    0.020
  2450698.78387   17.124    0.022
  2450699.68291   17.135    0.020
  2450700.72368   17.100    0.021
  2450701.69591   17.084    0.020
  2450704.72389   17.077    0.018
  2450706.68955   17.074    0.025
  2450707.72711   17.140    0.022
  2450708.75126   17.118    0.018
  2450712.75181   17.093    0.020
  2450713.73317   17.066    0.021
  2450714.74815   17.100    0.020
  2450715.71371   17.095    0.020
  2450716.68179   17.110    0.021
  2450726.66441   17.052    0.022
  2450728.67512   17.096    0.018
  2450729.67725   17.071    0.018
  2450730.66163   17.023    0.020
  2450733.62812   17.074    0.021
  2450739.64808   17.049    0.022
  2450741.61388   17.064    0.020
  2450742.59012   16.993    0.024
  2450744.63724   17.077    0.024
  2450745.58818   17.034    0.028
  2450746.77898   17.090    0.022
  2450747.64945   17.017    0.017
  2450748.61118   17.029    0.021
  2450749.61657   17.059    0.024
  2450750.61041   17.013    0.018
  2450751.61882   17.004    0.022
  2450752.73324   17.094    0.022
  2450753.66887   17.066    0.025
  2450759.62671   16.984    0.017
  2450760.65239   17.038    0.021
  2450761.62843   17.013    0.022
  2450761.73369   17.073    0.031
  2450762.61981   17.029    0.028
  2450762.64937   17.018    0.024
  2450763.63603   17.019    0.018
  2450763.74678   17.055    0.028
  2450765.56810   17.011    0.027
  2450766.60554   16.986    0.025
  2450766.70843   17.040    0.029
  2450767.61308   16.988    0.027
  2450767.77532   17.091    0.035
  2450769.59592   17.008    0.021
  2450769.66963   17.059    0.021
  2450770.60204   16.973    0.027
  2450771.63511   16.977    0.028
  2450772.59696   16.956    0.020
  2450773.60206   17.001    0.017
  2450773.75427   17.101    0.031
  2450774.59506   16.981    0.022
  2450775.55296   16.940    0.021
